PlayerID,PlayerName,HoursPlayed
f85eda37-9071-4989-aff2-12a8d1a30de7,Alexander White,24.88
8672d183-22da-40c2-9e81-a27b86922df7,Thomas Ayers,23.61
30929e38-cf4a-41f4-99ba-09e597d4356d,Michael Richardson,5.97
4e8bab92-7299-4024-a8d3-6ee0cfef0d1e,Andrea Jones,32.63
125aafa7-c5c5-4910-a023-0dcdfb35d135,Stephanie Dickson,19.73
151bf07b-4b26-408d-a74a-5cb43aca8d18,Candice Jones,27.14
73dae995-9c4e-46d0-a77b-fe89d86edd37,Brandi Watson,28.44
990d75f4-2f4e-4c0a-ad72-943d4bd46c79,Kirsten Malone,30.88
e73175b2-b665-4beb-8cce-78e47bf3eae9,David Farmer,9.36
8ed0797b-4af1-4868-ada6-25c425190d8a,Nicholas Miller,26.88
1197f60e-4e3a-4968-8d10-12beee2a608e,Heather Sawyer,23.83
49ae1b33-64ee-4fca-b72f-e1b4b5e1fd5d,Kyle Carrillo,16.85
741f4d98-7e49-4ee7-8c92-98766534b4c4,Kaitlyn Price,26.13
b03fab1f-4ce9-4771-a07e-1295a717e43b,Marissa Rhodes,31.14
706fa329-dabc-4b7c-b0a8-3b061a9763b2,Craig Brown,7.82
0fe3a09a-f1b1-4fb9-b7ad-36c6ccb4ae89,Antonio Skinner,15.84
8c64e715-6041-4677-93e6-719d1107c416,Scott Smith,15.25
ee52610e-3e9b-4c1e-81de-99aaeebc37e8,Hunter Powers,23.51
068e9588-0a17-49bf-bd1d-286410c7808d,James Rodriguez,31.62
dcc3565b-6959-4c4d-a0c8-017d8e782204,Robert Turner,6.23
d603d936-44aa-4616-b3db-68e060ad4f42,Peter Ross,16.61
bbc8694d-1e5a-47dd-b2ff-18ea5efdf0c8,Rachel Delgado,37.77
19e0464b-ed92-4a83-b848-28d3b0f085e0,Hannah Simmons,34.62
d5bc37d7-5274-49e6-bc25-71aafd8c595e,Sara Stevenson,17.94
ba6ef3fb-b9c2-41eb-a843-37cee41de5f0,Marcia Alexander,20.77
7aca448b-d492-4147-b21d-b6a0d81334c4,Tara Cowan,15.02
fcdf8074-5f91-45da-8cc0-44460f46da30,Christine Reyes DVM,39.19
4ef37c83-5b0f-4e97-be6b-1783c898e47f,Justin Brown,16.13
c4c9cb8c-902f-45eb-8e72-0f3277b8f559,Jasmine Byrd,26.61
ebc5ea3c-93e5-431d-8476-d35a283854dc,Darren Kim,5.53
ea6fcda3-50b1-491f-b54c-6fa90bd1ed3d,Karen Hernandez,22.53
d3fc0c67-2618-4988-b1d5-0ddf577311a1,Crystal Gonzalez,27.14
77ebfc6e-1c9d-40ae-81ee-495d931316e2,Jessica Meyer,5.54
86b3c74d-98bd-4906-8183-030e63ace5e2,Brooke Phillips,24.53
1bbc2831-40ec-4e7a-8b69-f187415a45ce,Jennifer Peters,22.53
0c4c8fd9-c915-4521-b500-66c5dee955ab,Judy Webb,14.91
fc67021a-2420-42ad-8046-812959232ecf,Holly Austin MD,9.89
11305a05-86ab-42ce-824e-a04c781c5aa1,Ryan Lopez,25.01
34e90def-a30d-42d5-a8a3-7da38c1b0fa2,Emily Bennett,13.77
46e1634c-ec86-4cec-a68c-074066badc6a,Carrie Kirk,21.51
e2a9aead-0324-48b1-9be8-a7944a82c629,Jordan Anderson,1.82
698e9c97-4624-4c82-9fbe-3052c7002aa5,Tanya Torres,9.28
4d044463-8ccb-4fcb-82dc-f37a2b4a2d73,Joseph Johnson,27.61
6a546426-dac3-47e8-b220-d64769279bf7,Grace Barnes,22.77
9f6a357b-32b4-4ac6-a4e0-50baf699b360,Laura Gordon,32.43
8df313a2-225c-4074-b77d-4607d6296a12,Julie Myers,30.46
728ceacc-7c7b-41a4-95f1-b122c45ee727,Jennifer Kaufman,37.55
62438bd1-8185-46dd-9afd-55540e9a0925,Bradley Coleman,37.95
338efd8c-b0a2-448b-b25f-868175867cef,Victoria Bridges,3.4
68bb4708-3d25-4724-b40a-f3378e5ba70b,Christian Miller,31.28
07707573-6006-4180-ac54-97fff45fd44d,Ms. Virginia Maldonado,20.14
f7483187-2cf0-4821-b07d-b04dff9e0daf,Julia Ramirez,31.09
edd189e5-18d9-43aa-af91-acd476db572a,Jeffery Stokes,7.76
95d10990-1e93-4e53-b7b6-23aabb6e68b9,Leah Nguyen,19.54
2fc548e9-a552-4a47-8045-6e0420cc4846,Misty Brown,18.73
d71a86c2-6209-487f-90be-d9fe5dd1a20c,Jessica Rodgers,34.62
bf1c2d8d-d911-4560-973f-db5b51d020a4,John Weber,5.76
